"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","610","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","12","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","603","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
